Z755016692,O=C(N1CCCCCC1)C2=NC(=O)NN2
Z26489203,CCC(=O)NC=1C=CC=CC1C#N
Z1430530116,FC(F)C1=NN=C(S1)N2CCCC2
Z26823525,CCC1=NN=C(NC(=O)C2CCCO2)S1
Z955369596,COC=1C=CC(Br)=CC1CNC(=O)C
Z28290384,COC=1C=CC=C(C1)C(=O)NC=2C=CC=CC2F
Z274554872,OC=1C=CC(NC(=O)N2CCOCC2)=CC1
Z99601600,CC=1C=C(C)C(NC(=O)CO)=C(C)C1
Z57475068,CN(C)C(=O)N1CCN(CC1)C(=O)N(C)C
Z30612387,O=C(NC=1C=CC(C#N)=CC1)C2=CC=CS2
Z45516134,CCN(CC)S(=O)(=O)C=1C=CC(C)=CC1
Z90122368,CC(=O)N1CCN(CC1)C(=O)N
Z751811134,CN(C)S(=O)(=O)C=1C=CC=NC1
Z30917949,CCC=1C=CC(NC(=O)C=2C=NC=CN2)=CC1
Z28173817,CCC(CC)C(=O)NC1=NC=CS1
Z133622412,CS(=O)(=O)NC1(CCCCC1)C(=O)O
Z30802768,CC(C)(C)CC(=O)NC=1C=CC(F)=CC1F
Z208334100,CC(C)C=1C=CC(NC(=O)N2CCOCC2)=CC1
Z68404778,CC(=O)NC=1C=CC(NC=2C=CC=CC2)=CC1
Z190780124,CC(NC(=O)C=1C=CC=NC1O)C2CC2
Z793500562,CCOC(=O)C1=CC(=NO1)C=2C=CC(C)=CC2
Z425449682,Cl.NCC1=CC(=NO1)C=2C=CC=CC2
Z32385991,CC(C)CNC(=O)C=1C=CC=2C=CC=CC2C1
Z415636694,Cl.CC(N)C=1C=CC(NC(=O)C2CC2)=CC1
Z57715447,C1CCC(CC1)C2=NC(=NO2)C=3C=CN=CC3
Z31721798,O=C(CCC1CCCCC1)N2CCOCC2
Z1310876699,FC=1C=CC=CC1C(=O)NCCC=2C=CN=CC2
Z56880342,CCNC(=O)NC=1C=C(C)ON1
Z137790394,ClC=1SN=NC1CN2CCOCC2
Z57080305,CC(=O)NC1=NC=C(CC=2C=CC=C(C)C2)S1
Z29634868,CCCC1=CC(=O)OC=2C=C(OC(=O)C)C=CC12
Z438067480,CCC(=O)NCC1=NN=C2CCCCN12
Z26769872,FC=1C=CC(CCNC(=O)C2=CC=CO2)=CC1
Z46169171,ClC=1C=CC=C(NC(=O)CN2CCCC2)C1
Z56837087,ClC=1C=CC(NC(=O)CC#N)=CC1
Z28290321,COC=1C=CC(=CC1)C(=O)NC=2C=CC=CC2F
Z27653940,CC(C)CC(=O)NC=1C=CC(NC(=O)C)=CC1
Z54226006,FC=1C=CC=C(F)C1C(=O)N2CCCC2
Z56900769,CC(=O)C=1C=CC(OCC(=O)O)=CC1
Z431807512,CC(C)N(C)S(=O)(=O)N1CCNC(=O)C1
Z56877838,CCOC=1C=CC(CC(=O)O)=CC1
Z437516460,CC=1C=CC(CNC(=O)C2CCC2)=CN1
Z86416893,CC(C)C=1C=CC(=CC1)C(=O)NC2=NN=CS2
Z136583524,CC=1OC=CC1C(=O)NC=2C=CN=CC2
Z1650868495,CC=1C=CC(=CC1)N2CCN(CC2)C(=O)N
Z57260516,COCC(=O)NC=1C(C)=CC(C)=CC1C
Z32327641,O=C(C1CC1)N2CCN(CC2)C(=O)C3=CC=CO3
Z26251905,CC=1C=C2N=CN(CC(=O)N)C2=CC1C
Z46180097,CC=1C=CC=C(NC(=O)CN2CCOCC2)C1C
Z26548228,O=C(CCC1CCCC1)NC=2C=CC=C(C#N)C2
Z2204875953,C1OC=2C=CC(=CC2O1)C=3C=CNN3
Z27678561,COC=1C=CC=2N=C(NC(=O)C3CC3)SC2C1
Z44584877,CN1CCN(CC1)C(=O)NC=2C=CC=CC2
Z26968795,COC=1C=C(NC(=O)C)C(OC)=CC1Cl
Z1430613393,CC=1C=CC(NC(=O)C=2C=CC=C(F)C2)=CC1O
Z19735067,FC=1C=CC(OCC(=O)N2CCCC2)=CC1
